OriginAirportCode,Month,DayofMonth,CRSDepHour,DayOfWeek,Carrier,DestAirportCode,WindSpeed,SeaLevelPressure,HourlyPrecip
FLL,7,13,15,6,AA,DFW,5,29,0
ATL,7,11,14,4,DL,DFW,6,29,0
BNA,7,1,9,1,WN,MCO,3,29,0
DCA,7,1,11,1,DL,ATL,9,29,0
SFO,7,9,6,2,DL,SLC,5,30,0
MDW,7,4,8,4,WN,AUS,7,30,0
OGG,7,5,8,5,HA,HNL,6,30,0
LAS,7,19,12,5,UA,IAH,8,29,0
PDX,7,18,7,4,B6,LGB,7,30,0
LAS,7,2,10,2,UA,SFO,3,29,0
LAX,7,23,8,2,AA,HNL,7,30,0
JFK,7,6,14,6,DL,BOS,14,30,0
ORD,7,19,19,5,UA,IAH,11,29,0
LGB,7,29,17,1,B6,SFO,11,29,0
MCO,7,16,16,2,DL,LGA,8,29,0
OGG,7,7,22,7,US,PHX,7,29,0
SEA,7,15,9,1,AS,LAX,8,30,0
BNA,7,6,10,6,MQ,LGA,3,29,0
MSP,7,16,19,2,9E,IAD,7,30,0
TPA,7,19,17,5,DL,MEM,11,29,0
LAX,7,20,15,6,AA,SFO,9,29,0
STL,7,18,7,4,WN,LGA,0,30,0
CLT,7,18,13,4,YV,MEM,6,30,0
DTW,7,24,19,3,9E,OKC,6,30,0
IAH,7,27,17,6,US,CLT,13,29,0
TPA,7,28,11,7,UA,IAH,6,30,0
STL,7,19,16,5,DL,MSP,8,29,0
TPA,7,3,6,3,DL,ATL,6,30,0
LAS,7,18,1,4,HA,HNL,10,29,0
DTW,7,2,12,2,DL,SEA,5,30,0
MCO,7,21,12,7,FL,RIC,7,30,0
LAX,7,31,18,3,OO,SAN,14,30,0
SAT,7,16,20,2,WN,DAL,8,30,0
ORD,7,18,17,4,US,CLT,7,29,0
ATL,7,8,13,1,DL,MKE,3,30,0
JFK,7,28,7,7,B6,MCO,6,30,0
ORD,7,23,9,2,AA,SAN,10,29,0
IAH,7,27,6,6,US,PHL,6,29,0
LAX,7,25,17,4,OO,SAN,15,29,0
RSW,7,12,10,5,FL,PIT,6,29,0
LAX,7,20,17,6,DL,SEA,8,29,0
DTW,7,20,10,6,DL,DCA,0,29,0
BNA,7,1,13,1,WN,BWI,9,29,0
SFO,7,1,15,1,AA,JFK,22,29,0
ATL,7,20,15,6,FL,MCO,6,29,0
SEA,7,17,11,3,AS,SFO,10,30,0
BWI,7,14,12,7,DL,ATL,5,30,0
TPA,7,22,10,1,B6,BOS,9,30,0
LAS,7,1,1,1,US,CLT,6,29,0
ATL,7,11,14,4,DL,SEA,6,29,0
BWI,7,30,19,2,WN,ATL,0,30,0
LGA,7,23,16,2,MQ,ATL,9,29,0
SFO,7,15,6,1,UA,BOS,9,29,0
ATL,7,28,20,7,FL,CMH,5,29,0
MSP,7,2,19,2,DL,LGA,9,30,0
LAS,7,14,6,7,DL,ATL,7,29,0
BWI,7,5,19,5,WN,MSY,6,30,0
PHX,7,13,17,6,WN,OKC,5,29,0
MIA,7,23,19,2,AA,DFW,9,30,0
RDU,7,31,19,3,B6,JFK,5,30,0
SNA,7,18,11,4,WN,DEN,7,29,0
ORD,7,15,7,1,MQ,BDL,0,30,0
RNO,7,9,16,2,OO,LAX,18,29,0
PHX,7,8,8,1,WN,LAS,11,29,0
LAX,7,29,15,1,OO,SAN,13,29,0
DTW,7,3,21,3,EV,PVD,6,30,0
ORD,7,17,14,3,MQ,MSP,11,30,0
MSY,7,19,7,5,UA,IAH,0,30,0
JFK,7,26,8,5,UA,LAX,14,30,0
LAX,7,14,11,7,DL,SLC,10,29,0
PHX,7,22,12,1,WN,OAK,6,29,0
ATL,7,5,16,5,DL,ABQ,10,30,0
SFO,7,18,23,4,UA,EWR,8,29,0
ORD,7,28,20,7,AA,SEA,6,29,0
HOU,7,9,7,2,WN,LAS,0,30,0
SJU,7,26,18,5,B6,BOS,10,30,0
PDX,7,31,6,3,UA,SFO,3,30,0
CLT,7,31,18,3,YV,SDF,5,30,0
DCA,7,21,17,7,US,MCO,10,29,0
IND,7,19,15,5,FL,TPA,13,29,0
RSW,7,5,19,5,B6,JFK,0,30,0
PHL,7,14,14,7,EV,DTW,10,30,0
CLT,7,12,7,5,US,JFK,0,29,0
SAN,7,10,11,3,WN,OAK,7,30,0
SLC,7,13,17,6,OO,DEN,17,29,0
SFO,7,25,21,4,UA,BOS,18,30,0
ORD,7,26,18,5,AA,LGA,10,29,0
PHX,7,19,15,5,UA,DEN,3,29,0
TPA,7,9,11,2,UA,EWR,0,30,0
LAX,7,2,14,2,OO,SFO,11,29,0
MSP,7,22,19,1,DL,LAX,17,29,0
IAH,7,2,9,2,DL,DTW,5,30,0
LGA,7,26,17,5,DL,MCO,8,29,0
FLL,7,18,19,4,US,PHL,6,29,0
SFO,7,12,13,5,US,CLT,23,29,0
ABQ,7,9,19,2,OO,LAX,11,29,0
LAX,7,21,17,7,WN,MDW,6,29,0
EWR,7,14,11,7,EV,RDU,11,30,0
LGB,7,22,16,1,YV,PHX,5,29,0
SEA,7,13,11,6,AS,AUS,10,30,0
MEM,7,3,13,3,EV,DEN,3,29,0
EWR,7,2,20,2,EV,JAX,10,29,0
IAH,7,29,19,1,EV,CLT,13,30,0
BOS,7,15,21,1,B6,FLL,5,30,0
IAD,7,31,18,3,DL,ATL,5,30,0
OGG,7,15,22,1,AS,PDX,3,30,0
MDW,7,15,10,1,WN,OMA,0,30,0
ATL,7,16,8,2,DL,OKC,7,29,0
MSP,7,25,10,4,EV,CLE,8,29,0
JFK,7,27,12,6,MQ,RDU,11,30,0
MIA,7,17,17,3,AA,ORD,3,30,0
LAX,7,7,13,7,WN,MDW,15,29,0
RDU,7,24,17,3,EV,CVG,5,29,0
PIT,7,12,6,5,US,CLT,6,30,0
PHX,7,20,19,6,WN,SAN,15,29,0
IAH,7,26,21,5,EV,OMA,9,29,0
IAH,7,15,21,1,UA,AUS,7,30,0
SEA,7,6,7,6,WN,ATL,3,30,0
CLE,7,9,18,2,UA,SFO,28,29,0
PHL,7,30,7,2,US,SEA,7,30,0
OKC,7,15,19,1,OO,LAX,6,29,0
ATL,7,16,11,2,FL,RSW,11,30,0
LAX,7,23,20,2,OO,OAK,13,29,0
BWI,7,9,8,2,WN,SDF,3,30,0
LAX,7,6,17,6,MQ,SLC,14,29,0
ATL,7,3,6,3,EV,MSP,6,29,0
LGB,7,12,19,5,B6,ANC,8,29,0
ORD,7,15,8,1,UA,IAH,0,30,0
ATL,7,23,22,2,FL,TPA,6,29,0
MEM,7,7,10,7,AA,DFW,7,30,0
MCO,7,12,6,5,US,CLT,0,29,0
SDF,7,23,5,2,YV,CLT,0,29,0
IAH,7,12,21,5,UA,SFO,7,29,0
CLE,7,9,18,2,UA,LAX,17,29,0
LGA,7,18,14,4,DL,FLL,7,29,0
ATL,7,29,8,1,FL,PBI,3,30,0
TPA,7,15,19,1,US,PHL,6,30,0
MCO,7,13,6,6,US,PHL,0,29,0
ORD,7,27,13,6,AA,STL,16,29,0
MSY,7,28,12,7,YV,CLT,8,29,0
LGA,7,15,14,1,DL,FLL,10,30,0
ORD,7,14,20,7,AA,LGA,6,30,0
ORD,7,4,10,4,EV,DTW,3,30,0
IAD,7,13,12,6,EV,CVG,0,30,0
SAN,7,5,12,5,WN,PHX,8,29,0
IAD,7,16,12,2,9E,DTW,10,30,0
ATL,7,20,19,6,DL,SEA,5,29,0
EWR,7,19,12,5,WN,MDW,18,29,0
IAD,7,11,16,4,UA,SFO,9,29,0
SEA,7,12,10,5,AS,ANC,6,30,0
EWR,7,20,20,6,UA,PBI,7,29,0
OAK,7,2,10,2,WN,BUR,8,29,0
ANC,7,6,16,6,DL,LAX,10,29,0
OAK,7,29,7,1,WN,BUR,7,29,0
MSY,7,8,5,1,EV,EWR,5,30,0
ATL,7,26,17,5,WN,MDW,5,29,0
MSP,7,28,14,7,OO,ORD,7,30,0
SJC,7,25,15,4,WN,LAS,10,29,0
PHX,7,17,8,3,US,ATL,8,29,0
PHX,7,23,21,2,WN,SMF,11,29,0
BWI,7,12,20,5,WN,ORF,6,29,0
OGG,7,19,12,5,HA,SJC,18,30,0
EWR,7,16,10,2,UA,SFO,9,30,0
ATL,7,9,21,2,FL,MCI,5,30,0
JFK,7,22,13,1,B6,BOS,9,29,0
HNL,7,15,19,1,HA,OGG,14,29,0
LGA,7,28,16,7,AA,ORD,14,29,0
IAD,7,21,18,7,UA,DEN,5,29,0
PBI,7,16,7,2,B6,BOS,13,30,0
MSP,7,20,6,6,WN,DEN,7,29,0
MEM,7,25,6,4,YV,CLT,6,30,0
PHX,7,2,15,2,WN,SAN,8,29,0
CLE,7,13,18,6,EV,RDU,11,30,0
IAH,7,15,11,1,OO,DAL,10,30,0
PDX,7,11,6,4,AS,SAN,7,30,0
CMH,7,1,12,1,EV,EWR,7,29,0
LAX,7,24,14,3,WN,LAS,15,29,0
ORD,7,21,8,7,OO,MKE,7,29,0
ORD,7,3,6,3,MQ,DTW,5,30,0
LAX,7,4,8,4,AA,MCO,0,29,0
PBI,7,28,7,7,FL,ATL,3,30,0
ORD,7,12,6,5,UA,DFW,0,30,0
SEA,7,8,16,1,DL,SLC,6,30,0
PHL,7,19,18,5,WN,MCO,18,29,0
HOU,7,1,18,1,FL,ATL,14,29,0
AUS,7,28,11,7,WN,DAL,8,29,0
LAS,7,5,10,5,DL,JFK,9,29,0
LAX,7,11,14,4,WN,LAS,7,29,0
LGA,7,26,19,5,B6,FLL,8,29,0
ORD,7,20,11,6,AA,PHX,3,29,0
SNA,7,16,8,2,AA,DFW,3,29,0
LAS,7,11,6,4,WN,ABQ,9,29,0
MSP,7,26,9,5,DL,RSW,15,29,0
DAL,7,27,17,6,WN,SAT,9,29,0
PHL,7,1,6,1,US,BOS,9,29,0
BOS,7,28,10,7,B6,RIC,8,29,0
BWI,7,6,20,6,WN,SJU,8,30,0
PHX,7,21,20,7,US,OAK,3,29,0
TUS,7,18,16,4,OO,LAX,0,29,0
AUS,7,19,18,5,OO,SLC,7,29,0
SEA,7,27,12,6,AS,SAT,6,30,0
ATL,7,22,9,1,EV,EWR,7,29,0
LGB,7,14,13,7,B6,LAS,8,29,0
SJC,7,30,7,2,WN,SEA,5,30,0
IAD,7,31,18,3,WN,MDW,5,30,0
TPA,7,8,19,1,AA,MIA,10,29,0
JFK,7,2,7,2,DL,SEA,11,30,0
DCA,7,30,19,2,AA,MIA,7,30,0
ORD,7,29,18,1,UA,SEA,9,30,0
RDU,7,4,6,4,FL,ATL,5,30,0
MEM,7,19,13,5,DL,FLL,9,30,0
IAH,7,15,14,1,OO,SLC,14,29,0
EWR,7,13,17,6,EV,BNA,6,30,0
DCA,7,14,17,7,DL,DTW,8,30,0
CLT,7,12,18,5,US,SAN,9,29,0
ATL,7,5,10,5,DL,MKE,7,29,0
DTW,7,5,10,5,9E,IND,3,29,0
BOS,7,27,17,6,AA,MIA,14,29,0
LAS,7,11,13,4,DL,MEM,11,29,0
MDW,7,10,20,3,WN,HOU,8,29,0
AUS,7,12,19,5,WN,DAL,7,29,0
PHX,7,24,6,3,WN,LAX,8,29,0
ORD,7,8,16,1,MQ,RIC,13,29,0
MSP,7,11,7,4,DL,SFO,0,30,0
MDW,7,16,11,2,WN,MSP,8,30,0
AUS,7,11,7,4,WN,BNA,7,29,0
ATL,7,3,10,3,DL,TUS,9,29,0
IAD,7,5,19,5,DL,ATL,9,30,0
EWR,7,26,7,5,UA,MCO,11,30,0
IAD,7,20,12,6,WN,MDW,8,29,0
EWR,7,3,13,3,VX,LAX,8,29,0
ORD,7,24,7,3,MQ,SAT,10,30,0
ATL,7,17,12,3,DL,BOS,3,30,0
BOS,7,10,10,3,B6,ORD,0,29,0
BWI,7,5,7,5,DL,ATL,8,30,0
MIA,7,23,19,2,US,CLT,9,30,0
DTW,7,20,8,6,DL,MIA,7,29,0
CLT,7,28,22,7,US,EWR,7,29,0
MSP,7,6,17,6,DL,LGA,5,29,0
RDU,7,9,15,2,EV,BOS,16,30,0
ORD,7,16,14,2,UA,EWR,9,30,0
LAX,7,6,16,6,OO,SJC,13,29,0
SFO,7,9,22,2,OO,ONT,20,29,0
LGA,7,15,16,1,US,BOS,17,30,0
IAH,7,14,8,7,EV,OKC,5,29,0
STL,7,19,14,5,OO,SLC,8,29,0
ORD,7,6,6,6,UA,DEN,0,30,0
MSP,7,20,7,6,9E,CLE,7,29,0
MSP,7,9,19,2,9E,OKC,15,29,0
CLT,7,12,13,5,US,JAX,11,29,0
OGG,7,26,12,5,YV,HNL,18,30,0
MIA,7,27,21,6,AA,BWI,5,30,0
LAX,7,18,12,4,UA,HNL,14,29,0
PHX,7,26,7,5,US,DFW,3,29,0
FLL,7,2,16,2,AA,DFW,10,30,0
MEM,7,6,7,6,AA,DFW,5,30,0
ATL,7,24,13,3,DL,PIT,7,29,0
SEA,7,27,7,6,AS,SJC,8,29,0
BOS,7,14,17,7,UA,LAX,7,30,0
EWR,7,13,15,6,UA,BOS,6,30,0
BWI,7,7,15,7,DL,ATL,11,29,0
TPA,7,30,19,2,WN,PHX,10,30,2
CMH,7,15,10,1,WN,DEN,5,30,0
LAS,7,15,15,1,WN,SEA,3,29,0
DCA,7,8,6,1,MQ,RDU,7,30,0
DTW,7,9,8,2,WN,BWI,0,29,0
ATL,7,6,21,6,EV,EWR,3,30,0
MSY,7,12,17,5,FL,ATL,0,29,0
DTW,7,15,15,1,DL,PHX,11,30,0
PHL,7,22,7,1,UA,DEN,6,29,0
ATL,7,26,17,5,DL,MCO,5,29,0
SAT,7,8,13,1,WN,DAL,9,30,0
ATL,7,26,16,5,DL,PHX,13,29,0
ANC,7,9,12,2,DL,MSP,6,29,0
DTW,7,2,17,2,9E,MDW,6,30,0
LAX,7,30,11,2,B6,BOS,10,30,0
PHL,7,30,18,2,UA,SFO,13,30,0
SAN,7,9,12,2,WN,OAK,7,30,0
MIA,7,16,19,2,DL,ATL,11,30,0
PHX,7,7,22,7,US,SFO,0,29,0
EWR,7,2,19,2,UA,SAN,15,30,0
CLE,7,29,12,1,EV,ORD,14,30,0
EWR,7,24,13,3,MQ,ORD,14,29,0
EWR,7,22,6,1,UA,BOS,5,29,0
CLT,7,11,22,4,US,PBI,5,29,0
AUS,7,21,10,7,WN,DAL,8,29,0
FLL,7,5,20,5,FL,SJU,16,30,0
DTW,7,25,12,4,DL,MCO,3,30,0
MDW,7,6,13,6,WN,MCO,10,29,0
SNA,7,12,10,5,OO,DEN,3,29,0
DTW,7,29,17,1,DL,ATL,8,30,0
ATL,7,22,13,1,DL,JAX,11,29,0
BNA,7,8,19,1,WN,MCO,0,30,0
LAX,7,11,12,4,OO,PHX,3,29,0
SLC,7,21,11,7,OO,ORD,7,29,0
JFK,7,13,6,6,UA,LAX,8,30,0
HNL,7,30,5,2,HA,OGG,14,29,0
CLE,7,9,18,2,UA,PDX,40,29,0
CLT,7,20,11,6,US,FLL,8,30,0
PIT,7,20,8,6,US,CLT,6,29,0
JAX,7,9,12,2,MQ,ORD,7,30,0
HNL,7,4,7,4,HA,OGG,5,30,0
TUS,7,23,12,2,AA,ORD,9,29,0
BNA,7,12,11,5,US,CLT,15,30,0
ORD,7,3,13,3,OO,SLC,6,30,0
ATL,7,7,13,7,EV,BNA,5,30,0
PBI,7,24,11,3,DL,LGA,14,29,0
IAH,7,9,15,2,MQ,ORD,13,30,0
CLT,7,9,13,2,US,LGA,0,30,0
SAN,7,28,6,7,UA,DEN,3,29,0
CLT,7,16,6,2,US,LGA,0,30,0
STL,7,7,13,7,WN,DAL,13,30,0
LAX,7,10,14,3,OO,SAN,7,29,0
DCA,7,30,15,2,US,CLT,5,30,0
BOS,7,4,12,4,WN,BNA,11,30,0
ATL,7,3,10,3,FL,DTW,9,29,0
LGA,7,9,12,2,UA,IAH,13,30,0
ORD,7,17,8,3,YV,IND,8,30,0
BUR,7,11,7,4,WN,OAK,0,29,0
OAK,7,3,11,3,B6,LGB,10,29,0
SNA,7,28,7,7,WN,LAS,6,29,0
DAL,7,28,21,7,WN,ABQ,11,29,0
MSY,7,1,10,1,DL,ATL,6,29,0
SJC,7,14,10,7,AS,SEA,5,29,0
MCO,7,19,14,5,B6,BOS,9,30,0
HOU,7,18,20,4,MQ,DFW,3,30,0
SLC,7,30,22,2,OO,ONT,6,29,0
ORD,7,18,16,4,MQ,DTW,15,29,0
HOU,7,3,11,3,WN,CLT,3,30,0
CLE,7,30,18,2,9E,DTW,6,30,0
IAD,7,5,17,5,EV,LGA,14,30,0
DCA,7,14,6,7,FL,MCO,0,30,0
ATL,7,14,19,7,WN,BWI,10,29,0
ATL,7,8,8,1,EV,OMA,0,30,0
EWR,7,3,15,3,MQ,ORD,5,30,0
DTW,7,11,7,4,DL,BWI,5,30,0
BOS,7,23,10,2,AA,JFK,7,29,0
JFK,7,22,15,1,DL,MIA,10,29,0
CLE,7,24,17,3,EV,LGA,11,30,0
PHX,7,17,18,3,US,OMA,16,29,0
CLT,7,24,20,3,US,PVD,7,29,0
STL,7,19,13,5,WN,BNA,3,29,0
MSY,7,14,6,7,US,PHL,5,29,0
PHX,7,5,17,5,US,LAX,7,29,0
ATL,7,4,13,4,FL,DCA,5,30,0
AUS,7,8,13,1,DL,ATL,13,30,0
IAH,7,17,12,3,OO,RSW,10,30,0
BNA,7,3,15,3,WN,MDW,5,30,0
ATL,7,19,11,5,DL,MCO,5,29,0
SJC,7,20,18,6,WN,BUR,14,29,0
MIA,7,15,11,1,AA,SJU,3,29,0
ORD,7,23,7,2,YV,BOS,8,29,0
OKC,7,26,6,5,OO,DEN,5,29,0
SFO,7,25,10,4,B6,BOS,16,30,0
PHL,7,15,20,1,US,PHX,7,30,0
RIC,7,1,6,1,DL,ATL,6,29,0
PIT,7,17,7,3,WN,LAS,0,30,0
BOS,7,10,9,3,B6,BUF,7,29,0
SJC,7,15,14,1,WN,SAN,8,29,0
EWR,7,2,12,2,EV,DTW,7,30,0
IAH,7,20,7,6,EV,DTW,3,29,0
DTW,7,26,19,5,EV,ORD,7,29,0
ATL,7,26,16,5,DL,SDF,0,29,0
MIA,7,25,19,4,AA,SJU,7,30,0
ATL,7,16,8,2,9E,IAD,6,30,0
MSP,7,7,10,7,DL,BOS,5,29,0
MSP,7,5,14,5,OO,MKE,14,29,0
EWR,7,2,10,2,US,CLT,8,30,0
EWR,7,10,18,3,UA,DFW,15,29,0
LAX,7,30,16,2,OO,PDX,16,30,0
PHL,7,30,10,2,US,BOS,9,30,0
MSP,7,23,9,2,MQ,ORD,13,29,0
BOS,7,23,17,2,FL,ATL,5,29,0
LAS,7,4,23,4,FL,BWI,7,29,0
LAS,7,11,8,4,WN,RNO,6,29,0
BOS,7,14,9,7,B6,BWI,7,30,0
MSP,7,1,17,1,DL,SNA,13,30,0
MSP,7,16,19,2,DL,BOS,7,30,0
MSY,7,13,9,6,WN,DAL,7,29,0
AUS,7,15,6,1,DL,ATL,8,29,0
SFO,7,31,11,3,UA,IAH,3,30,0
IAD,7,11,16,4,EV,BNA,9,29,0
JFK,7,26,17,5,9E,MCI,13,30,0
PIT,7,10,18,3,WN,MDW,25,29,0
PHX,7,24,8,3,WN,SEA,8,29,0
PHX,7,9,8,2,US,DCA,16,29,0
PHX,7,25,8,4,US,CMH,7,29,0
LAS,7,12,18,5,UA,DEN,6,29,0
TPA,7,27,7,6,UA,IAH,0,30,0
IAD,7,23,21,2,UA,SFO,3,29,0
LAX,7,6,7,6,WN,STL,3,29,0
SAT,7,14,16,7,DL,ATL,13,29,0
JFK,7,6,9,6,DL,LAX,9,30,0
MSP,7,30,11,2,DL,DTW,7,30,0
DTW,7,7,17,7,9E,JFK,11,29,0
FLL,7,30,10,2,FL,MKE,6,29,0
LAX,7,25,18,4,VX,SFO,15,29,0
LAX,7,15,11,1,UA,JFK,13,29,0
BWI,7,28,14,7,WN,AUS,5,29,0
LAX,7,19,7,5,US,CLT,0,29,0
MSP,7,21,17,7,WN,PHX,10,29,0
CLT,7,9,15,2,DL,ATL,6,30,0
IAH,7,5,12,5,EV,CVG,7,29,0
BOS,7,25,5,4,B6,JFK,8,30,0
DCA,7,10,8,3,US,TPA,8,29,0
MDW,7,7,8,7,WN,CLE,7,29,0
SLC,7,9,15,2,DL,LAX,8,29,0
HOU,7,3,6,3,WN,LAS,0,30,0
MSY,7,19,18,5,DL,LGA,8,29,0
ATL,7,3,14,3,DL,SDF,7,29,0
BWI,7,24,20,3,WN,FLL,7,29,0
SMF,7,10,8,3,WN,SAN,5,29,0
JAX,7,16,9,2,MQ,MIA,9,30,0
SNA,7,25,10,4,WN,SJC,5,29,0
ANC,7,22,2,1,AS,SEA,10,30,0
IAD,7,12,9,5,UA,DEN,8,29,0
PDX,7,19,22,5,UA,EWR,10,30,0
PHL,7,28,17,7,US,LAS,0,29,0
BOS,7,2,19,2,AA,LAX,10,29,0
ATL,7,31,12,3,DL,CVG,5,29,0
SEA,7,7,6,7,WN,MDW,8,29,0
BWI,7,30,7,2,WN,PVD,0,30,0
JFK,7,29,18,1,B6,SJC,18,30,0
ATL,7,1,21,1,FL,SAT,7,29,0
IAH,7,20,21,6,UA,SAN,6,29,0
LAX,7,31,14,3,OO,SAN,14,29,0
OMA,7,26,7,5,UA,IAH,9,30,0
HNL,7,31,13,3,HA,OGG,21,30,0
SFO,7,9,22,2,UA,EWR,20,29,0
BOS,7,9,7,2,VX,LAX,3,29,0
RDU,7,19,14,5,US,CLT,15,30,0
ORD,7,30,8,2,EV,OMA,6,30,0
IAD,7,4,17,4,EV,IND,11,30,0
BOS,7,11,6,4,B6,FLL,6,29,0
IAD,7,31,22,3,EV,LGA,10,30,0
PHL,7,28,17,7,US,SAN,0,29,0
PHX,7,31,21,3,WN,PDX,17,29,0
BNA,7,14,12,7,WN,SEA,9,30,0
JFK,7,20,10,6,DL,LAS,18,29,0
TPA,7,16,6,2,UA,EWR,3,30,0
SJU,7,21,12,7,US,CLT,20,30,0
MKE,7,30,19,2,WN,DEN,8,29,0
PHX,7,24,6,3,F9,DEN,8,29,0
CLT,7,17,6,3,DL,ATL,3,30,0
LGA,7,7,13,7,MQ,DTW,9,29,0
IND,7,23,17,2,EV,ORD,17,29,0
OKC,7,18,14,4,WN,MCI,13,30,0
BWI,7,8,6,1,DL,ATL,3,30,0
IAH,7,21,15,7,US,PHX,11,29,0
ATL,7,26,15,5,FL,PHL,23,29,0
MCO,7,29,16,1,FL,MCI,21,30,0
ATL,7,27,8,6,DL,CLE,5,29,0
BNA,7,20,16,6,WN,HOU,5,29,0
EWR,7,23,7,2,UA,DEN,10,29,0
SAT,7,14,19,7,WN,HOU,18,29,0
DTW,7,12,14,5,EV,PHL,11,30,0
SFO,7,1,9,1,DL,ATL,5,29,0
OGG,7,11,14,4,HA,HNL,21,30,0
PDX,7,12,18,5,AS,ANC,10,30,0
LAX,7,4,7,4,OO,DFW,0,29,0
ATL,7,19,22,5,DL,MKE,3,29,0
LAX,7,20,17,6,OO,OAK,8,29,0
DCA,7,31,10,3,US,MCO,8,30,0
BWI,7,19,18,5,FL,ATL,0,29,0
DTW,7,8,14,1,9E,CLE,10,30,0
FLL,7,20,10,6,B6,SJU,13,29,0
FLL,7,2,10,2,B6,SJU,18,30,0
CLT,7,16,16,2,US,RDU,5,30,0
SEA,7,17,14,3,UA,IAH,14,29,0
HNL,7,19,21,5,UA,LAX,13,30,0
IAH,7,6,13,6,DL,ATL,8,29,0
EWR,7,23,7,2,AS,SEA,13,29,0
SJU,7,27,16,6,UA,IAH,16,29,0
ATL,7,14,17,7,FL,RIC,21,30,0
SFO,7,2,13,2,UA,EWR,13,29,0
MCO,7,23,11,2,WN,SJU,21,30,0
SFO,7,9,10,2,UA,ORD,6,29,0
JFK,7,3,15,3,MQ,CMH,11,29,0
OAK,7,7,10,7,WN,DEN,9,29,0
DCA,7,17,17,3,US,CLT,5,30,0
OAK,7,31,12,3,AS,SEA,11,30,0
ATL,7,16,9,2,DL,SJU,8,30,0
SFO,7,15,19,1,OO,SAT,14,29,0
SEA,7,25,7,4,AS,SLC,5,29,0
PIT,7,25,18,4,DL,ATL,10,30,0
SAN,7,17,21,3,WN,OAK,7,30,0
DCA,7,7,11,7,FL,MKE,11,30,0
BWI,7,27,9,6,WN,BDL,8,30,0
PDX,7,20,11,6,DL,DTW,5,30,0
BWI,7,23,21,2,WN,HOU,5,29,0
LAS,7,10,18,3,HA,HNL,10,29,0
MSY,7,20,17,6,WN,HOU,8,29,0
TPA,7,14,20,7,WN,FLL,3,30,0
ATL,7,22,20,1,DL,RDU,16,29,0
IAH,7,5,18,5,UA,SFO,16,29,0
BOS,7,14,6,7,AA,ORD,0,30,0
OMA,7,15,6,1,EV,DEN,0,30,0
BNA,7,6,18,6,WN,JAX,7,30,0
BWI,7,14,12,7,WN,BOS,5,30,0
CLT,7,11,9,4,US,ORF,0,29,0
ATL,7,19,11,5,DL,BWI,5,29,0
PVD,7,3,17,3,UA,ORD,13,30,0
CLT,7,7,14,7,US,RSW,11,29,0
SAT,7,19,7,5,OO,IAH,0,30,0
MDW,7,2,21,2,WN,DTW,10,30,0
FLL,7,23,14,2,US,DCA,8,30,0
RDU,7,4,16,4,DL,ATL,9,30,0
RDU,7,13,14,6,MQ,JFK,0,30,0
ATL,7,11,7,4,DL,RIC,5,29,0
ATL,7,12,14,5,WN,MCO,5,29,0
HOU,7,22,6,1,WN,OKC,3,30,0
CLE,7,3,18,3,AA,DFW,7,30,0
IAH,7,2,19,2,UA,SEA,10,29,0
RSW,7,7,9,7,DL,ATL,15,29,0
BWI,7,28,8,7,WN,DEN,5,29,0
SEA,7,23,14,2,AS,LAX,7,30,0
LAS,7,6,14,6,US,PHL,14,29,0
CLT,7,14,20,7,US,BWI,7,30,0
MIA,7,26,11,5,DL,ATL,8,30,0
ORD,7,27,9,6,UA,SFO,11,29,0
ORD,7,18,15,4,AA,DFW,15,30,0
OAK,7,25,6,4,WN,SEA,5,29,0
LAX,7,21,12,7,AA,DFW,7,29,0
IAD,7,5,19,5,UA,ABQ,9,30,0
SLC,7,28,16,7,WN,SEA,11,29,0
PHX,7,30,10,2,US,HNL,6,29,0
SEA,7,21,10,7,AS,SAN,6,29,0
MDW,7,31,13,3,WN,BNA,6,29,0
PHX,7,4,9,4,WN,CMH,8,29,0
PDX,7,24,11,3,OO,SFO,9,30,0
TPA,7,5,12,5,DL,JFK,11,30,0
PHL,7,1,16,1,US,SFO,10,29,0
SAT,7,8,11,1,WN,DAL,13,29,0
BWI,7,29,20,1,WN,SDF,0,30,0
PHX,7,29,10,1,WN,OKC,9,29,0
LAX,7,22,21,1,OO,PHX,6,29,0
RNO,7,2,8,2,WN,LAS,0,29,0
SFO,7,10,12,3,VX,LAS,20,29,0
SFO,7,20,15,6,UA,LAX,21,29,0
SAN,7,16,7,2,WN,AUS,7,29,0
JFK,7,13,15,6,AA,MCO,8,30,0
PVD,7,12,7,5,US,PHL,13,30,0
DTW,7,23,8,2,DL,LAX,0,29,0
PHX,7,2,12,2,US,IAH,3,29,0
LAX,7,28,7,7,DL,ATL,6,29,0
LGA,7,16,12,2,DL,DTW,13,30,0
LAX,7,14,21,7,OO,SMF,3,29,0
CLT,7,15,14,1,YV,CMH,8,30,0
HNL,7,29,19,1,UA,IAH,3,29,0
LAX,7,24,15,3,AS,SEA,13,29,0
IAH,7,22,8,1,OO,AUS,10,30,0
SEA,7,13,7,6,DL,ATL,3,30,0
OMA,7,15,16,1,AA,DFW,11,30,0
DTW,7,5,17,5,9E,PIT,10,30,0
ATL,7,3,14,3,WN,LAX,6,30,0
EWR,7,29,10,1,EV,OMA,5,30,0
DTW,7,16,15,2,DL,SEA,5,30,0
IAH,7,19,11,5,US,CLT,3,29,0
